Rua: Rua Dom António Bento Martins Júnior (3) ; Origem: 213266831 ; Destino: 253421679 ; Oneway: False ; Highway: tertiary
Rua: Rua Doutor Manuel Rodrigues Abreu (6) ; Origem: 213266831 ; Destino: 213265757 ; Oneway: False ; Highway: residential
Rua: Rua Dom António Bento Martins Júnior (4) ; Origem: 213266831 ; Destino: 1134479214 ; Oneway: False ; Highway: tertiary
Rua: Avenida Padre Júlio Fragata (7) ; Origem: 213268311 ; Destino: 213268614 ; Oneway: True ; Highway: trunk
Rua: Rua Dom António Bento Martins Júnior (5) ; Origem: 213268311 ; Destino: 213266828 ; Oneway: True ; Highway: trunk_link
Rua: Avenida Padre Júlio Fragata (8) ; Origem: 213268614 ; Destino: 229141294 ; Oneway: True ; Highway: trunk
Rua:  ; Origem: 213270941 ; Destino: 253986660 ; Oneway: True ; Highway: tertiary
Rua:  ; Origem: 213270954 ; Destino: 253986655 ; Oneway: True ; Highway: tertiary
Rua:  ; Origem: 213270963 ; Destino: 1755018162 ; Oneway: True ; Highway: tertiary
Rua: Rua do Taxa ; Origem: 213271936 ; Destino: 213682109 ; Oneway: False ; Highway: tertiary
Rua: Largo do Monte D'Arcos ; Origem: 213271936 ; Destino: 4116337683 ; Oneway: False ; Highway: residential
Rua: ["Largo do Monte D'Arcos", 'Rua Dom António Bento Martins Júnior'] ; Origem: 213271936 ; Destino: 1763921777 ; Oneway: False ; Highway: tertiary
Rua: Largo do Monte D'Arcos (2) ; Origem: 213271936 ; Destino: 253473631 ; Oneway: False ; Highway: tertiary
Rua: Rua Conselheiro Bento Miguel ; Origem: 213274270 ; Destino: 213270954 ; Oneway: True ; Highway: tertiary
Rua: Rua Conselheiro Bento Miguel (2) ; Origem: 213274270 ; Destino: 213274272 ; Oneway: False ; Highway: tertiary
Rua: Rua Conselheiro Bento Miguel (3) ; Origem: 213274272 ; Destino: 213274270 ; Oneway: False ; Highway: tertiary
Rua: Rua Conselheiro Bento Miguel (4) ; Origem: 213274272 ; Destino: 213279105 ; Oneway: True ; Highway: tertiary
Rua: Largo de Infías ; Origem: 213279105 ; Destino: 3928494738 ; Oneway: True ; Highway: tertiary
Rua: Largo de Infías (2) ; Origem: 213279111 ; Destino: 213279105 ; Oneway: True ; Highway: tertiary
Rua: Rua Conselheiro Bento Miguel (5) ; Origem: 213279111 ; Destino: 213274272 ; Oneway: True ; Highway: tertiary
Rua: Rua de Santa Margarida ; Origem: 213279114 ; Destino: 213281819 ; Oneway: True ; Highway: tertiary
Rua: Largo de Infías (3) ; Origem: 213279114 ; Destino: 9646463654 ; Oneway: True ; Highway: tertiary
Rua: Rua de Santa Margarida (2) ; Origem: 213281819 ; Destino: 343675936 ; Oneway: False ; Highway: tertiary
Rua: Rua de Santa Margarida (3) ; Origem: 213281819 ; Destino: 9646463654 ; Oneway: True ; Highway: tertiary
Rua: Largo da Senhora-a-Branca ; Origem: 213281832 ; Destino: 2057080323 ; Oneway: True ; Highway: tertiary
Rua: Rua de São Victor (3) ; Origem: 213281832 ; Destino: 224601819 ; Oneway: False ; Highway: tertiary
Rua: Largo da Senhora-a-Branca (2) ; Origem: 213281832 ; Destino: 11463436051 ; Oneway: True ; Highway: tertiary
Rua: Rua de Santa Margarida (4) ; Origem: 213281832 ; Destino: 343675936 ; Oneway: False ; Highway: tertiary
Rua: Rua do Taxa (2) ; Origem: 213682107 ; Destino: 1640717918 ; Oneway: False ; Highway: tertiary
Rua: Rua Dom Pedro V (5) ; Origem: 213682107 ; Destino: 211327592 ; Oneway: True ; Highway: tertiary
Rua: Rua do Taxa (3) ; Origem: 213682109 ; Destino: 213271936 ; Oneway: False ; Highway: tertiary
Rua: Rua do Taxa (4) ; Origem: 213682109 ; Destino: 253421681 ; Oneway: False ; Highway: tertiary
Rua: Rua Doutor Alberto Cruz ; Origem: 213682109 ; Destino: 253472409 ; Oneway: False ; Highway: residential
Rua: Rua José Sarmento ; Origem: 213682109 ; Destino: 343675673 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 213714421 ; Destino: 213714423 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 213714423 ; Destino: 254113008 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 213714423 ; Destino: 211399776 ; Oneway: True ; Highway: primary_link
Rua: Via Rápida Bom Jesus ; Origem: 213716371 ; Destino: 3142022288 ; Oneway: True ; Highway: secondary
Rua: Avenida Dom João II ; Origem: 213716377 ; Destino: 518783835 ; Oneway: True ; Highway: tertiary
Rua: Via Rápida Bom Jesus (2) ; Origem: 213716377 ; Destino: 213716371 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 213721873 ; Destino: 213781893 ; Oneway: True ; Highway: secondary
Rua: Via Rápida Bom Jesus (3) ; Origem: 213721873 ; Destino: 512517350 ; Oneway: True ; Highway: secondary
Rua: Estrada de Bom Jesus ; Origem: 213728818 ; Destino: 1596455314 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213728818 ; Destino: 1596455314 ; Oneway: True ; Highway: residential
Rua: Estrada de Bom Jesus (2) ; Origem: 213728818 ; Destino: 2203046694 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213728840 ; Destino: 354971511 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213728840 ; Destino: 213728841 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213728840 ; Destino: 8686336408 ; Oneway: False ; Highway: secondary
Rua: Caminho do Sameiro ; Origem: 213728841 ; Destino: 409464549 ; Oneway: False ; Highway: residential
Rua: Travessa Mãe de Água ; Origem: 213728841 ; Destino: 1239875710 ; Oneway: False ; Highway: residential
Rua:  ; Origem: 213728841 ; Destino: 213733754 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213728841 ; Destino: 213728840 ; Oneway: False ; Highway: secondary
Rua: Avenida João Paulo II (9) ; Origem: 213733753 ; Destino: 409464882 ; Oneway: True ; Highway: residential
Rua:  ; Origem: 213733753 ; Destino: 213733754 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 213733754 ; Destino: 213742028 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 213733754 ; Destino: 213728841 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213733759 ; Destino: 213733753 ; Oneway: True ; Highway: secondary
Rua: Via da Falperra ; Origem: 213742028 ; Destino: 213775103 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213742028 ; Destino: 213733759 ; Oneway: True ; Highway: secondary
Rua: Rua do Barral ; Origem: 213748332 ; Destino: 1818309383 ; Oneway: False ; Highway: residential
Rua: Via da Falperra (2) ; Origem: 213748332 ; Destino: 213748334 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (3) ; Origem: 213748332 ; Destino: 1898479935 ; Oneway: False ; Highway: secondary
Rua: Rua da Devesa Basta ; Origem: 213748334 ; Destino: 1898411639 ; Oneway: False ; Highway: residential
Rua: Via da Falperra (4) ; Origem: 213748334 ; Destino: 213748332 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (5) ; Origem: 213748334 ; Destino: 213768539 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (6) ; Origem: 213757502 ; Destino: 1251308143 ; Oneway: False ; Highway: secondary
Rua: Rua do Picoto ; Origem: 213757502 ; Destino: 1597575907 ; Oneway: True ; Highway: tertiary
Rua: Via da Falperra (7) ; Origem: 213757502 ; Destino: 1597575904 ; Oneway: False ; Highway: secondary
Rua:  ; Origem: 213757504 ; Destino: 245549577 ; Oneway: False ; Highway: residential
Rua: Via da Falperra (8) ; Origem: 213757504 ; Destino: 213757514 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (9) ; Origem: 213757504 ; Destino: 1563775935 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (10) ; Origem: 213757514 ; Destino: 1563768510 ; Oneway: True ; Highway: secondary
Rua: Via da Falperra (11) ; Origem: 213757514 ; Destino: 213757504 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (12) ; Origem: 213757518 ; Destino: 2473870941 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (13) ; Origem: 213757518 ; Destino: 1563768505 ; Oneway: True ; Highway: secondary
Rua:  ; Origem: 213758538 ; Destino: 213758544 ; Oneway: False ; Highway: unclassified
Rua:  ; Origem: 213758538 ; Destino: 1597575904 ; Oneway: True ; Highway: unclassified
Rua:  ; Origem: 213758544 ; Destino: 213758538 ; Oneway: False ; Highway: unclassified
Rua: Rua do Miradouro ; Origem: 213758544 ; Destino: 2744870091 ; Oneway: False ; Highway: unclassified
Rua:  ; Origem: 213758544 ; Destino: 213758545 ; Oneway: False ; Highway: trunk_link
Rua:  ; Origem: 213758545 ; Destino: 1563791987 ; Oneway: True ; Highway: trunk_link
Rua:  ; Origem: 213758545 ; Destino: 213758544 ; Oneway: False ; Highway: trunk_link
Rua:  ; Origem: 213768539 ; Destino: 878781378 ; Oneway: False ; Highway: unclassified
Rua: Via da Falperra (14) ; Origem: 213768539 ; Destino: 213775103 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (15) ; Origem: 213768539 ; Destino: 213748334 ; Oneway: False ; Highway: secondary
Rua: Via da Falperra (16) ; Origem: 213775103 ; Destino: 213742028 ; Oneway: False ; Highway: secondary
